dataset,method,sample_rate,hop,budget,coreness_loss,follower_computation
karate,GConvLSTM_partial,0.3,1,10,36.5,0.5
strike,GConvLSTM_partial,0.1,1,0,0.0,2.0
strike,GConvLSTM_partial,0.1,1,1,2.1,1.6
strike,GConvLSTM_partial,0.1,1,2,2.4,0.5
strike,GConvLSTM_partial,0.1,1,3,2.5,0.1
strike,GConvLSTM_partial,0.1,1,4,3.1,0.7
strike,GConvLSTM_partial,0.1,1,5,3.3,0.3
strike,GConvLSTM_partial,0.1,1,6,4.0,0.5
strike,GConvLSTM_partial,0.1,1,7,3.2,0.0
strike,GConvLSTM_partial,0.1,1,8,4.1,1.0
strike,GConvLSTM_partial,0.1,1,9,4.7,1.2
strike,GConvLSTM_partial,0.1,1,10,3.5,0.3
mexican,GConvLSTM_partial,0.2,2,0,0.0,7.0
mexican,GConvLSTM_partial,0.2,2,1,20.4,3.7
mexican,GConvLSTM_partial,0.2,2,2,21.1,1.1
mexican,GConvLSTM_partial,0.2,2,3,23.4,1.7
mexican,GConvLSTM_partial,0.2,2,4,26.7,2.0
mexican,GConvLSTM_partial,0.2,2,5,28.9,1.5
mexican,GConvLSTM_partial,0.2,2,6,31.8,1.5
mexican,GConvLSTM_partial,0.2,2,7,33.1,1.5
mexican,GConvLSTM_partial,0.2,2,8,32.9,1.0
mexican,GConvLSTM_partial,0.2,2,9,32.2,1.0
mexican,GConvLSTM_partial,0.2,2,10,34.7,1.4
football,GConvLSTM_partial,0.1,1,0,0.0,11.0
football,GConvLSTM_partial,0.1,1,1,5.4,2.0
football,GConvLSTM_partial,0.1,1,2,6.4,0.5
football,GConvLSTM_partial,0.1,1,3,8.4,1.1
football,GConvLSTM_partial,0.1,1,4,8.8,0.9
football,GConvLSTM_partial,0.1,1,5,12.4,0.6
football,GConvLSTM_partial,0.1,1,6,16.6,0.6
football,GConvLSTM_partial,0.1,1,7,21.6,1.3
football,GConvLSTM_partial,0.1,1,8,30.3,1.6
football,GConvLSTM_partial,0.1,1,9,39.5,2.1
football,GConvLSTM_partial,0.1,1,10,41.7,1.6
strike,GConvLSTM_partial,0.4,2,0,0.0,9.0
strike,GConvLSTM_partial,0.4,2,1,2.7,2.0
strike,GConvLSTM_partial,0.4,2,2,4.5,1.8
strike,GConvLSTM_partial,0.4,2,3,6.3,1.7
strike,GConvLSTM_partial,0.4,2,4,6.9,1.4
strike,GConvLSTM_partial,0.4,2,5,7.2,0.8
strike,GConvLSTM_partial,0.4,2,6,7.5,0.8
strike,GConvLSTM_partial,0.4,2,7,7.5,0.5
strike,GConvLSTM_partial,0.4,2,8,7.5,0.5
strike,GConvLSTM_partial,0.4,2,9,7.6,0.6
strike,GConvLSTM_partial,0.4,2,10,7.4,0.6
mexican,GConvLSTM_partial,0.4,2,0,0.0,14.0
mexican,GConvLSTM_partial,0.4,2,1,25.5,10.0
mexican,GConvLSTM_partial,0.4,2,2,25.7,0.9
mexican,GConvLSTM_partial,0.4,2,3,28.1,1.5
mexican,GConvLSTM_partial,0.4,2,4,30.7,1.7
mexican,GConvLSTM_partial,0.4,2,5,36.2,2.8
mexican,GConvLSTM_partial,0.4,2,6,43.6,3.3
mexican,GConvLSTM_partial,0.4,2,7,46.9,2.5
mexican,GConvLSTM_partial,0.4,2,8,52.1,3.1
mexican,GConvLSTM_partial,0.4,2,9,53.6,1.9
mexican,GConvLSTM_partial,0.4,2,10,54.2,1.7
football,GConvLSTM_partial,0.4,2,0,0.0,46.0
football,GConvLSTM_partial,0.4,2,1,5.7,2.0
football,GConvLSTM_partial,0.4,2,2,6.2,0.5
football,GConvLSTM_partial,0.4,2,3,9.4,1.5
football,GConvLSTM_partial,0.4,2,4,20.1,4.5
football,GConvLSTM_partial,0.4,2,5,28.8,3.7
football,GConvLSTM_partial,0.4,2,6,44.4,6.4
football,GConvLSTM_partial,0.4,2,7,47.0,1.4
football,GConvLSTM_partial,0.4,2,8,64.0,7.7
football,GConvLSTM_partial,0.4,2,9,77.2,5.7
football,GConvLSTM_partial,0.4,2,10,80.5,2.1
football,GConvLSTM_partial,0.3,1,0,0.0,34.0
football,GConvLSTM_partial,0.3,1,1,5.7,2.0
football,GConvLSTM_partial,0.3,1,2,7.2,0.7
football,GConvLSTM_partial,0.3,1,3,9.4,1.1
football,GConvLSTM_partial,0.3,1,4,12.9,1.6
football,GConvLSTM_partial,0.3,1,5,21.7,2.7
football,GConvLSTM_partial,0.3,1,6,32.3,3.5
football,GConvLSTM_partial,0.3,1,7,39.3,2.3
football,GConvLSTM_partial,0.3,1,8,61.3,6.8
football,GConvLSTM_partial,0.3,1,9,71.8,3.8
football,GConvLSTM_partial,0.3,1,10,75.4,1.9
karate,GConvLSTM_partial,0.1,1,0,0.0,3.0
karate,GConvLSTM_partial,0.1,1,1,9.3,1.9
karate,GConvLSTM_partial,0.1,1,2,16.5,1.6
karate,GConvLSTM_partial,0.1,1,3,21.6,1.6
karate,GConvLSTM_partial,0.1,1,4,28.9,2.0
karate,GConvLSTM_partial,0.1,1,5,31.4,2.0
karate,GConvLSTM_partial,0.1,1,6,32.9,1.3
karate,GConvLSTM_partial,0.1,1,7,33.7,1.8
karate,GConvLSTM_partial,0.1,1,8,33.1,1.2
karate,GConvLSTM_partial,0.1,1,9,30.6,0.5
karate,GConvLSTM_partial,0.1,1,10,29.2,0.7
strike,GConvLSTM_partial,0.2,2,0,0.0,4.0
strike,GConvLSTM_partial,0.2,2,1,2.6,1.8
strike,GConvLSTM_partial,0.2,2,2,4.0,1.5
strike,GConvLSTM_partial,0.2,2,3,4.6,1.3
strike,GConvLSTM_partial,0.2,2,4,4.6,0.8
strike,GConvLSTM_partial,0.2,2,5,5.0,0.8
strike,GConvLSTM_partial,0.2,2,6,4.4,0.3
strike,GConvLSTM_partial,0.2,2,7,5.3,0.6
strike,GConvLSTM_partial,0.2,2,8,5.5,0.7
strike,GConvLSTM_partial,0.2,2,9,5.8,0.7
strike,GConvLSTM_partial,0.2,2,10,6.5,1.1
karate,GConvLSTM_partial,0.4,2,0,0.0,13.0
karate,GConvLSTM_partial,0.4,2,1,14.1,5.3
karate,GConvLSTM_partial,0.4,2,2,22.7,3.4
karate,GConvLSTM_partial,0.4,2,3,30.3,3.1
karate,GConvLSTM_partial,0.4,2,4,35.6,2.4
karate,GConvLSTM_partial,0.4,2,5,38.6,1.9
karate,GConvLSTM_partial,0.4,2,6,39.9,1.5
karate,GConvLSTM_partial,0.4,2,7,40.8,1.5
karate,GConvLSTM_partial,0.4,2,8,42.3,1.6
karate,GConvLSTM_partial,0.4,2,9,45.4,2.1
karate,GConvLSTM_partial,0.4,2,10,46.3,1.5
strike,GConvLSTM_partial,0.3,1,0,0.0,7.0
strike,GConvLSTM_partial,0.3,1,1,2.7,1.8
strike,GConvLSTM_partial,0.3,1,2,3.6,0.9
strike,GConvLSTM_partial,0.3,1,3,3.7,0.1
strike,GConvLSTM_partial,0.3,1,4,4.4,0.8
strike,GConvLSTM_partial,0.3,1,5,4.5,0.5
strike,GConvLSTM_partial,0.3,1,6,5.2,0.7
strike,GConvLSTM_partial,0.3,1,7,5.5,0.6
strike,GConvLSTM_partial,0.3,1,8,4.9,0.4
strike,GConvLSTM_partial,0.3,1,9,5.3,1.2
strike,GConvLSTM_partial,0.3,1,10,3.9,0.2
mexican,GConvLSTM_partial,0.5,1,0,0.0,17.0
mexican,GConvLSTM_partial,0.5,1,1,25.9,12.8
mexican,GConvLSTM_partial,0.5,1,2,26.9,1.4
mexican,GConvLSTM_partial,0.5,1,3,28.0,1.4
mexican,GConvLSTM_partial,0.5,1,4,30.6,1.9
mexican,GConvLSTM_partial,0.5,1,5,32.7,2.0
mexican,GConvLSTM_partial,0.5,1,6,32.9,1.1
mexican,GConvLSTM_partial,0.5,1,7,31.2,0.8
mexican,GConvLSTM_partial,0.5,1,8,29.6,0.4
mexican,GConvLSTM_partial,0.5,1,9,28.1,0.4
mexican,GConvLSTM_partial,0.5,1,10,27.4,0.9
mexican,GConvLSTM_partial,0.1,1,0,0.0,3.0
mexican,GConvLSTM_partial,0.1,1,1,17.9,2.0
mexican,GConvLSTM_partial,0.1,1,2,18.4,1.0
mexican,GConvLSTM_partial,0.1,1,3,20.2,1.3
mexican,GConvLSTM_partial,0.1,1,4,22.3,1.2
mexican,GConvLSTM_partial,0.1,1,5,23.2,1.1
mexican,GConvLSTM_partial,0.1,1,6,23.0,0.7
mexican,GConvLSTM_partial,0.1,1,7,25.0,1.2
mexican,GConvLSTM_partial,0.1,1,8,23.9,0.9
mexican,GConvLSTM_partial,0.1,1,9,22.3,0.3
mexican,GConvLSTM_partial,0.1,1,10,21.4,0.6
karate,GConvLSTM_partial,0.5,1,0,0.0,17.0
karate,GConvLSTM_partial,0.5,1,1,15.9,7.8
karate,GConvLSTM_partial,0.5,1,2,24.3,4.4
karate,GConvLSTM_partial,0.5,1,3,33.8,5.1
karate,GConvLSTM_partial,0.5,1,4,37.0,2.7
karate,GConvLSTM_partial,0.5,1,5,40.5,2.7
karate,GConvLSTM_partial,0.5,1,6,41.0,1.8
karate,GConvLSTM_partial,0.5,1,7,41.1,1.3
karate,GConvLSTM_partial,0.5,1,8,40.9,1.2
karate,GConvLSTM_partial,0.5,1,9,39.6,0.9
karate,GConvLSTM_partial,0.5,1,10,36.4,0.2
football,GConvLSTM_partial,0.2,2,0,0.0,23.0
football,GConvLSTM_partial,0.2,2,1,5.4,2.0
football,GConvLSTM_partial,0.2,2,2,5.5,0.3
football,GConvLSTM_partial,0.2,2,3,6.5,0.8
football,GConvLSTM_partial,0.2,2,4,10.7,1.4
football,GConvLSTM_partial,0.2,2,5,21.0,2.3
football,GConvLSTM_partial,0.2,2,6,28.0,2.4
football,GConvLSTM_partial,0.2,2,7,34.0,2.2
football,GConvLSTM_partial,0.2,2,8,34.3,1.5
football,GConvLSTM_partial,0.2,2,9,35.2,1.2
football,GConvLSTM_partial,0.2,2,10,36.2,1.0
karate,GConvLSTM_partial,0.4,1,0,0.0,13.0
karate,GConvLSTM_partial,0.4,1,1,12.3,4.7
karate,GConvLSTM_partial,0.4,1,2,18.6,2.7
karate,GConvLSTM_partial,0.4,1,3,25.2,2.8
karate,GConvLSTM_partial,0.4,1,4,29.6,2.3
karate,GConvLSTM_partial,0.4,1,5,36.1,2.9
karate,GConvLSTM_partial,0.4,1,6,36.9,2.0
karate,GConvLSTM_partial,0.4,1,7,36.8,1.2
karate,GConvLSTM_partial,0.4,1,8,37.1,1.4
karate,GConvLSTM_partial,0.4,1,9,35.6,0.8
karate,GConvLSTM_partial,0.4,1,10,32.9,0.4
strike,GConvLSTM_partial,0.1,2,0,0.0,2.0
strike,GConvLSTM_partial,0.1,2,1,2.0,1.5
strike,GConvLSTM_partial,0.1,2,2,2.9,1.4
strike,GConvLSTM_partial,0.1,2,3,3.1,0.7
strike,GConvLSTM_partial,0.1,2,4,3.4,0.8
strike,GConvLSTM_partial,0.1,2,5,2.8,0.4
strike,GConvLSTM_partial,0.1,2,6,2.9,0.3
strike,GConvLSTM_partial,0.1,2,7,4.0,0.8
strike,GConvLSTM_partial,0.1,2,8,3.7,0.5
strike,GConvLSTM_partial,0.1,2,9,4.4,0.8
strike,GConvLSTM_partial,0.1,2,10,4.6,0.8
karate,GConvLSTM_partial,0.3,2,0,0.0,10.0
karate,GConvLSTM_partial,0.3,2,1,13.7,3.7
karate,GConvLSTM_partial,0.3,2,2,19.9,2.2
karate,GConvLSTM_partial,0.3,2,3,25.6,2.2
karate,GConvLSTM_partial,0.3,2,4,27.1,1.6
karate,GConvLSTM_partial,0.3,2,5,29.4,1.5
karate,GConvLSTM_partial,0.3,2,6,33.2,1.8
karate,GConvLSTM_partial,0.3,2,7,35.3,1.5
