dataset,method,sample_rate,hop,budget,coreness_loss,follower_computation
karate,GConvLSTM_partial,0.2,1,4,29.4,1.9
karate,GConvLSTM_partial,0.2,1,5,34.1,1.9
karate,GConvLSTM_partial,0.2,1,6,36.8,1.9
karate,GConvLSTM_partial,0.2,1,7,36.6,1.5
karate,GConvLSTM_partial,0.2,1,8,35.6,1.0
karate,GConvLSTM_partial,0.2,1,9,35.8,1.3
karate,GConvLSTM_partial,0.2,1,10,33.3,0.4
karate,GConvLSTM_partial,0.5,2,0,0.0,17.0
karate,GConvLSTM_partial,0.5,2,1,12.2,6.0
karate,GConvLSTM_partial,0.5,2,2,21.1,4.6
karate,GConvLSTM_partial,0.5,2,3,31.8,5.6
karate,GConvLSTM_partial,0.5,2,4,38.2,3.8
karate,GConvLSTM_partial,0.5,2,5,41.3,2.1
karate,GConvLSTM_partial,0.5,2,6,43.4,1.7
karate,GConvLSTM_partial,0.5,2,7,44.5,1.6
karate,GConvLSTM_partial,0.5,2,8,47.2,2.6
karate,GConvLSTM_partial,0.5,2,9,47.0,1.4
karate,GConvLSTM_partial,0.5,2,10,46.3,1.2
